Board pretreatment and punching,Lysaght Bondek,Gemtree FRP Board; none contains gemtree FRP board,Gypsum Board; none contains gypsum board,Cement Board,Knauf FRP Board,Promatect HBoard; none contains promatect HBoard,,,,,
2D panel assembly ,Corrugated profile; wall system contains corrugated profile,Corrugated profile; ceil system contains corrugated profile,Composite floor slab,Shear stud; plane contains shear stud,,,,,,,
Butt weld and fillet weld,Welding Electrode,Electrode,,,,,,,,,
3D assembly,2D panel,Corner Casting,Steel Column,Steel Angle,Shear stud; space contains shear Stud,CandleLoc System,Steel ceiling beam; space contains steel ceiling beam,Steel Purlins,Steel floor beam,,
Apply fire paint at strucutral member,3D steel frame,Fire protection paint,Firecut FM-900 paint,Firecut paint,,,,,,,
Rebar Fixing,Spacer,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,,,,,
Pouring Concrete,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,,,,,,,
Door ironmongery and windows installation,Door Ironmongery,Aluminium Window,FRP Timber Door,Non-FRP Timber Door,Glass Panel,Timber Door,Hinge,Handle,Latches,,
Door and window frame installation,Aluminium Cladding,Rockwool Acoustic Insulation,Door threshold,Acoustic Insulation,Overhead Door Closer,Door Frame,Hardwood Solid Core Flush Doors,,,,
Installation of gypsum board at wall surface,Gypsum Board; wall system contains gypsum board,Laminate for wall finsishes,Finishings; wall system contains finishings,Laminates; wall system contains laminates,,,,,,,
Installation of MEP conduit at wall surface,uPVC Conduits and Fittings,Condiuts and Accessories,Flexible Conduit; flexible conduit belongs-to MEP system,MEP Conduit,Conduit,uPVC Conduits,,,,,
Stud installation at wall,Metal Skeleton,"Shear stud, wall system contains shear stud",Runners,Wall panel; wall system contains wall panel,Track,Channel,Wall Tiles,Noggins and Braces,,,
Rockwool in-fill and 2 layer of fire board installation at wall surface,Promatect Hboard; wall system contains promatect Hboard,Rockwool; wall system contains rockwool,Mineral Wool Insulation,,,,,,,,
Stud installation at ceiling,Steel ceiling beam; ceiling system contains steel ceiling beam,Ceiling panel; ceiling system contains ceiling panel,Shear stud; ceiling system contains shear stud,,,,,,,,
Rockwool in-fill and fire board installation at ceiling surface,Promatect Hboard; ceiling system contains promatect Hboard,Gemtree FRP Board; ceiling system contains gemtree FRP board,Elastometric Cemenititious Waterproofing Membrane,Rockwool; ceiling system contains rockwool,,,,,,,
Layer and coat painting,Anti-mould Emulsion Paint,Emulsion Paint,Ceiling panel; ceiling system contains ceiling panel; ceiling system contains studs,Wall panel; wall system contains wall panel; wall system contains studs,,,,,,,
Installation of lighting,Lighting Fittings,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking; cable trunking belongs-to lighting system,Flexible Conduit; flexible conduit  belongs-to lighting system,Label,,,
Electrical Cable Wiring,Busbar Chamber,Non-Armoured Cable,Amoured wiring,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,,,,
Installation of MEP trunking at ceiling,Cable Trunking; ceiling system contains cable trunking,uPVC Pipes,Epoxy Coated Cast iron Pipes,Copper Pipes,uPVC Fittings,Epoxy Coated Cast Fittings,Epoxy pipes,Epoxy ,,,
Installation of sprinkler pipes,Galvanized Steel Pipes,Galvanized Steel Pipes Fittings,Grooved Pipe Fittings,Sprinkler Heads,Smoke Detectors,Fire Alarm Bells,Fire Alarm,Grooved Couplings,Fire Detector,,
Window type AC installation,Window type AC,Air Grilles / Diffuser,Rubber Vibration Isolators,Activated Carbon Filter,Spring Vibration Isolators,Carbon Filter,Air Diffuser,Air Grilles,AC,Air filters,Ventilation fan
Installation of Vinyl floor and skirting,Non-slip PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,,,,
Cabinets installation,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,,,,,
